ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Category	Label
SCARB1	3.07531979853216	19.403552894642	12.3932268467242	1.03049674926901e-09	5.09408893055316e-07	12.6107694287922	Up-regulated	SCARB1
UGDH	2.25074361914195	21.9669075467798	7.83662344139112	6.40589666701687e-07	4.38507831253608e-05	6.27906262141233	Up-regulated	UGDH
LXN	2.22653712317681	21.2250848882792	7.71585141093534	7.84173070351883e-07	4.91378308450074e-05	6.07650345147337	Up-regulated	LXN
UPP1	2.13450084096096	20.3642343419053	8.46641456050136	2.29958657694004e-07	2.27352459573472e-05	7.30301998934701	Up-regulated	UPP1
ANGPTL4	2.10123502467632	18.1423361603948	3.62946080368676	0.00219703230683674	0.0120081040947379	-1.87110331852624	Up-regulated	ANGPTL4
CEND1	2.0907247419198	17.5448861907473	7.39975442154523	1.34345868790988e-06	6.79209966194437e-05	5.53671598710317	Up-regulated	CEND1
ICAM1	2.02617026424497	21.4689075269871	5.50776797081299	4.46839238634823e-05	0.000739028911779303	2.01339672138889	Up-regulated	ICAM1
LGALS3	1.92802301658388	22.2487664527107	6.04615572068753	1.56915566599409e-05	0.000341662471583143	3.06590218769806	Up-regulated	LGALS3
GPRC5A	1.88839633772744	20.3393649786413	5.09382879346416	0.00010244116876843	0.00128745977358968	1.18016858158886	Up-regulated	GPRC5A
LIPA	1.87264642956247	20.0811481766206	16.7270059767914	1.09315936412349e-11	9.72693202197082e-09	16.8556494787421	Up-regulated	LIPA
SCD	1.81121187852537	20.5840635752167	3.18041460619645	0.00570606772855921	0.023881745366284	-2.80342178254515	Up-regulated	SCD
DNAJC1	1.80329628254226	16.3764968082637	7.2215290747418	1.83060931517113e-06	8.31059269713913e-05	5.22617412516413	Up-regulated	DNAJC1
ARRB1	1.77551925414005	19.8499128723383	6.94715259541207	2.97228676652556e-06	0.0001159974019673	4.73931010074969	Up-regulated	ARRB1
KIAA0319L	1.7032871661304	17.3761506491748	8.98897215039977	1.01985111851874e-07	1.41791175821558e-05	8.11262848571279	Up-regulated	KIAA0319L
PCK2	1.6696391001684	20.1613557737373	6.32578803498055	9.25243359911216e-06	0.000240725596973392	3.59737194473076	Up-regulated	PCK2
MRPS15	1.6312895764351	17.8536956309811	5.80477935401256	2.49674641892156e-05	0.000476739262565752	2.59866075462922	Up-regulated	MRPS15
ARR3	1.58115276223387	20.7467204753959	4.12470670979932	0.000766880172248218	0.00565812584798063	-0.830718771226851	Up-regulated	ARR3
SDSL	1.54540626534834	18.4540387328358	8.45194927379848	2.35303156560023e-07	2.2757907468164e-05	7.28010050755311	Up-regulated	SDSL
CD44	1.53934223317014	23.2321903603628	5.1951654426618	8.3451627594948e-05	0.00111830208183712	1.38591498581555	Up-regulated	CD44
AKAP12	1.53403887703534	20.2752783060792	5.89092095187716	2.11349677724991e-05	0.000420590383527361	2.76629255090958	Up-regulated	AKAP12
ITGA5	1.53032096345092	19.8909273124749	7.78335372349604	7.00195274264934e-07	4.58138618205729e-05	6.18996773322648	Up-regulated	ITGA5
ITGA2	1.51283668570969	20.4230574855316	6.21465578966612	1.13992451436881e-05	0.000283325372314349	3.387437105415	Up-regulated	ITGA2
CYB5B	1.50600817417937	22.3913454220045	7.61668754408623	9.27143092420712e-07	5.4067815135553e-05	5.90866976534903	Up-regulated	CYB5B
MFGE8	1.502226242841	20.6753457266229	5.2935784190773	6.84650894994903e-05	0.000968438307722809	1.58466249715548	Up-regulated	MFGE8
SLC16A3	1.50143543574239	21.0994193620798	7.04204183742576	2.51069079223576e-06	0.000104393115277167	4.90889238501295	Up-regulated	SLC16A3
FAM162A	1.47718152764259	20.7716745235864	6.33300349746097	9.12846161065544e-06	0.000238897210034153	3.61094329931681	Up-regulated	FAM162A
NPC1	1.45251438438195	20.2240826648305	8.76548830472329	1.43821258009609e-07	1.77739104690209e-05	7.77071590242321	Up-regulated	NPC1
STC2	1.4287497245851	18.0217257316515	3.32786522915875	0.00417428743275059	0.018969769957413	-2.4995188136273	Up-regulated	STC2
BCKDK	1.42837134977956	19.2653503274158	6.86499275360049	3.44337936547083e-06	0.00012727257791073	4.59144577122838	Up-regulated	BCKDK
HPS3	1.42507521576505	17.936941573592	7.83655661056305	6.40661025657103e-07	4.38507831253608e-05	6.27895109115887	Up-regulated	HPS3
G6PD	1.41932257103639	22.0349269629367	5.65423704220659	3.34868769361427e-05	0.000591202839241662	2.30340224097097	Up-regulated	G6PD
ABLIM1	1.40095818355902	19.5220807661028	6.87736346908111	3.36774237772699e-06	0.000125908284357205	4.61377074751327	Up-regulated	ABLIM1
MYADM	1.3887986204907	20.6436898973647	6.41175188451508	7.88244560568246e-06	0.000211259039154707	3.75858838571212	Up-regulated	MYADM
